Annotation	n	depth	station
GO:0000716	2379	2	65
GO:0009229	2379	2	65
GO:0004643	2378	2	65
GO:0004151	2376	2	65
GO:0004096	2372	2	65
GO:0004044	2371	2	65
GO:0009376	2365	2	65
GO:0045263	2356	2	65
GO:0042744	2349	2	65
GO:0006424	2331	2	65
GO:0006817	2320	2	65
GO:0051258	2317	2	65
GO:0031317	2314	2	65
GO:0006486	2307	2	65
GO:0006433	2293	2	65
GO:0006635	2284	2	65
GO:0050566	2283	2	65
GO:0043335	2280	2	65
GO:0004018	2265	2	65
GO:0030151	2264	2	65
GO:0006535	2259	2	65
GO:0008121	2242	2	65
GO:0008312	2241	2	65
GO:0043165	2231	2	65
GO:0008170	2223	2	65
GO:0007156	2214	2	65
GO:0070626	2209	2	65
GO:0004821	2206	2	65
GO:0048500	2198	2	65
GO:0004399	2182	2	65
GO:0099000	2177	2	65
GO:0004474	2151	2	65
GO:0106029	2146	2	65
GO:0016791	2141	2	65
GO:0042158	2136	2	65
GO:0016209	2135	2	65
GO:0006427	2131	2	65
GO:0006783	2124	2	65
GO:0009249	2122	2	65
GO:0015977	2109	2	65
GO:0030956	2109	2	65
GO:0006164	2105	2	65
GO:0004634	2094	2	65
GO:0000015	2090	2	65
GO:0006631	2087	2	65
GO:0004818	2080	2	65
GO:0006564	2069	2	65
GO:0008963	2064	2	65
GO:0016783	2060	2	65
GO:0042777	2059	2	65
GO:0004107	2026	2	65
GO:0016811	2022	2	65
GO:0004817	1999	2	65
GO:0006235	1999	2	65
GO:0004072	1987	2	65
GO:0140078	1986	2	65
GO:0008615	1979	2	65
GO:0006423	1978	2	65
GO:0019028	1964	2	65
GO:0004674	1962	2	65
GO:0009986	1952	2	65
GO:0009234	1947	2	65
GO:0004831	1939	2	65
GO:0009165	1922	2	65
GO:0003849	1920	2	65
GO:0004830	1914	2	65
GO:0006436	1897	2	65
GO:0003985	1891	2	65
GO:0008081	1865	2	65
GO:0004749	1863	2	65
GO:0015942	1863	2	65
GO:0004455	1859	2	65
GO:0042558	1858	2	65
GO:0006071	1848	2	65
GO:0006166	1844	2	65
GO:0004332	1843	2	65
GO:0031072	1821	2	65
GO:0016903	1816	2	65
GO:0006464	1766	2	65
GO:0070615	1761	2	65
GO:0106311	1645	2	65
GO:0004075	1637	2	65
GO:0004174	1636	2	65
GO:0106310	1636	2	65
GO:0004828	1619	2	65
GO:0006434	1610	2	65
GO:0006323	1606	2	65
GO:0006437	1605	2	65
GO:0003862	1602	2	65
GO:0019646	1547	2	65
GO:0009635	1523	2	65
GO:0004329	1474	2	65
GO:0016798	1329	2	65
GO:0045277	1258	2	65
GO:0019556	1246	2	65
GO:0019557	1245	2	65
GO:0019073	1210	2	65
GO:0098009	1209	2	65
GO:0019076	1145	2	65
GO:0039686	1123	2	65
GO:0016817	1108	2	65
GO:0098027	1092	2	65
GO:0019012	1088	2	65
GO:0019072	1085	2	65
GO:0050797	1055	2	65
GO:0099002	1018	2	65
GO:0008998	951	2	65
GO:0015667	880	2	65
GO:0003952	869	2	65
GO:0009523	854	2	65
