Annotation	n
GO:0033819	169174
GO:0005839	169142
GO:0102555	169087
GO:0004801	169065
GO:0051603	168911
GO:0009401	168213
GO:0033862	167956
GO:0042953	167911
GO:0004616	167868
GO:0009424	167733
GO:0019008	167527
GO:0008666	167180
GO:0019897	167150
GO:0006449	167123
GO:0006229	167121
GO:0015081	166924
GO:0004020	166897
GO:0009521	166799
GO:0006233	166727
GO:0005337	166412
GO:0004594	165757
GO:0007623	165702
GO:0030632	165679
GO:0015667	165491
GO:0004735	165387
GO:0004014	165190
GO:0015920	164483
GO:0018339	164122
GO:0004077	163922
GO:0009396	162980
GO:0106257	162883
GO:0009166	162117
GO:0008972	161648
GO:0018160	161555
GO:0047334	160624
GO:0016024	160395
GO:0019294	160202
GO:0050515	159926
GO:0004108	159885
GO:0042242	159839
GO:0009881	159578
GO:0009001	159400
GO:0045936	159175
GO:0030643	159168
GO:0070043	158946
GO:0004416	158360
GO:0016742	158336
GO:0043842	158048
GO:0015078	157808
GO:0019354	157779
GO:0004015	157245
GO:0046421	156779
GO:0006139	156776
GO:0035529	156202
GO:0036218	156200
GO:0003855	156124
GO:0001216	155845
GO:0046417	155079
GO:0103039	155047
GO:0016881	155042
GO:0003993	154410
GO:0017111	154381
GO:0008841	153894
GO:0000453	153370
GO:0002083	152890
GO:0047293	152890
GO:0019629	152808
GO:0070677	152793
GO:0008783	152602
GO:0046914	151766
GO:0006650	151061
GO:0016832	150741
GO:0004423	150675
GO:0102559	149466
GO:0007154	149180
GO:0008460	148190
GO:0042823	148093
GO:0000156	147753
GO:0019028	147445
GO:0004765	146954
GO:0019243	146891
GO:0017108	146731
GO:0015067	146383
GO:0006144	146131
GO:0043743	145983
GO:0070181	145845
GO:1990610	145708
GO:0009037	145625
GO:0043138	145590
GO:0004595	144925
GO:0038023	144863
GO:0003920	144284
GO:0015344	143819
GO:0006780	143810
GO:0034017	143807
GO:0019475	143341
GO:0006825	142975
GO:0008932	142565
GO:0019253	142239
GO:0004733	140752
GO:0033856	140630
GO:0004609	139901
GO:0004614	139454
GO:0010024	138873
GO:0004534	138828
GO:0043231	138334
GO:0019323	137517
GO:0070204	137271
GO:0008879	137258
GO:0015116	137053
GO:0006012	136587
GO:1902560	136196
GO:0070290	136099
GO:0004550	135812
GO:0006040	135292
GO:0009295	135019
GO:0006478	134786
GO:0008476	134786
GO:0004819	134675
GO:0009635	134494
GO:1990397	134352
GO:0034023	134318
GO:0006228	134181
GO:0006183	134138
GO:0006241	134119
GO:0016888	133853
GO:0003848	133847
GO:0004789	133711
GO:0016823	133604
GO:0042256	133580
GO:0000175	133135
GO:0006974	133134
GO:0007602	133130
GO:0008199	132563
GO:0070063	132411
GO:0015288	132005
GO:0035870	131162
GO:0036222	131161
GO:0009146	131160
GO:0036220	131160
GO:0004385	130925
GO:0003962	130777
GO:0006425	130633
GO:0008677	130434
GO:0004563	130266
GO:0004784	130033
GO:0009225	129791
GO:0102148	129726
GO:0009264	129557
GO:0004635	129443
GO:0003999	129424
GO:0004640	129179
GO:0102028	128968
GO:0004067	128567
GO:0016630	128462
GO:0006886	128115
GO:0043213	127988
GO:0015415	127948
GO:0008757	127788
GO:0008893	127545
GO:0004851	127492
GO:0015416	127368
GO:0016624	126654
GO:0008649	126472
GO:0005216	126253
GO:0070497	125976
GO:0016437	125641
GO:0052927	125201
GO:0052928	125201
GO:0052929	125201
GO:0016153	124707
GO:0016780	124569
GO:0004310	124469
GO:0051996	124469
GO:0004134	124243
GO:0102067	124240
GO:0070897	124013
GO:0050313	123374
GO:0017025	123111
GO:0006662	122975
GO:0008780	122966
GO:0006168	122326
GO:0031418	122217
GO:0008812	121758
GO:0004089	121563
GO:0048472	121492
GO:0006163	121376
GO:0102500	121228
GO:0043772	121106
GO:0006465	120776
GO:0050311	120354
GO:0016793	120326
GO:0004751	120322
GO:0004373	120120
GO:0051499	119362
GO:0004602	119351
GO:0003978	119194
GO:0070929	119175
GO:0010468	119153
GO:0004140	119112
GO:0004197	119010
GO:0004076	119005
GO:0042301	118952
GO:0046820	118807
GO:0000034	118798
GO:0008777	118333
GO:0050518	118281
GO:0008887	117956
GO:0009579	117736
GO:0004420	117695
GO:0004799	117471
GO:0015846	117436
GO:0019808	117435
GO:0015936	117279
GO:0006146	117103
GO:0042183	116966
GO:0046538	116624
GO:0048040	116107
GO:0008939	116089
GO:0061798	116049
GO:0000256	115228
GO:0055072	115018
GO:0044781	114802
GO:0019076	114584
GO:0005986	114375
GO:0046524	114367
GO:0004816	114272
GO:0008909	114165
GO:0008965	114111
GO:0019878	114046
GO:0004565	114010
GO:0016984	113970
GO:0006857	113687
GO:0004185	113591
GO:0009011	112976
GO:0033201	112976
GO:0016840	112463
GO:0006421	112356
GO:0047151	112299
GO:0004756	112297
GO:0016884	112249
GO:0004888	112074
GO:0019478	112066
GO:0046912	112022
GO:0004016	111944
GO:0016846	111618
GO:0008425	111224
GO:0043333	110965
GO:0019305	110883
GO:0016310	110620
GO:0051276	110458
GO:0046140	110422
GO:0008171	110397
GO:0030698	110387
GO:0004605	110239
GO:0008864	110105
GO:0033179	110015
GO:0008728	109894
GO:0008899	109430
GO:0006637	109289
GO:0004061	108877
GO:0033567	108449
GO:0009052	108168
GO:0004309	108158
GO:0098027	107665
GO:0004844	107315
GO:0019856	106769
GO:0008878	106553
GO:0004747	106424
GO:0008175	105753
GO:0006725	105707
GO:0009349	105700
GO:0004150	105325
GO:0000906	105128
GO:0005874	105104
GO:0042398	104922
GO:0042128	104765
GO:0006646	104478
GO:0010242	104221
GO:0004371	103980
GO:0047617	103726
GO:0008689	103724
GO:0004673	103718
GO:0004712	103370
GO:0019072	103363
GO:0030638	103295
GO:0034040	103137
GO:0031177	102676
GO:0003860	102651
GO:0019563	102628
GO:0009341	102479
GO:0006171	102434
GO:0004069	102370
GO:0004000	102009
GO:0008761	101881
GO:0004725	101823
GO:0046167	101643
GO:0004515	101551
GO:0033961	101356
GO:0008412	101319
GO:0001510	101246
GO:0004582	100764
GO:0018193	100756
GO:0009535	100191
GO:0016709	100026
GO:0042752	99940
GO:0006450	99926
GO:0004062	99891
GO:0004845	99790
GO:0003882	99419
GO:0008176	99318
GO:0045900	99104
GO:0006493	99098
GO:0050570	99030
GO:0016719	98929
GO:0052886	98929
GO:0052887	98929
GO:0009538	98653
GO:0061710	98355
GO:0052693	98308
GO:0015159	98267
GO:0000150	98199
GO:0008882	98094
GO:0030272	97974
GO:0016772	97916
GO:0009072	97649
GO:0102208	97567
GO:0030979	96962
GO:0009403	96682
GO:0016166	96628
GO:0033926	96483
GO:0008198	96196
GO:0042781	95898
GO:0004792	95859
GO:0006021	95785
GO:0008924	95751
GO:0052589	95737
GO:0009035	95502
GO:0018142	95433
GO:0019120	95417
GO:0016776	95402
GO:0004736	94397
GO:0008690	94230
GO:0004352	94191
GO:0043780	94184
GO:0030490	93921
GO:0004719	93908
GO:0008897	93804
GO:0004512	93556
GO:0017183	93469
GO:0015824	93276
GO:0031402	93264
GO:0005298	93262
GO:0043531	93115
GO:0046608	93089
GO:0010207	93016
GO:0046718	93014
GO:0009654	93008
GO:0004668	92790
GO:0019551	92566
GO:0006044	92485
GO:0045550	92448
GO:0009022	92345
GO:0006470	92077
GO:0000724	91838
GO:0008714	91813
GO:0015225	91666
GO:0017013	91565
GO:0008691	91440
GO:0008650	91298
GO:0009446	91253
GO:0015267	91227
GO:0008935	90986
GO:0047429	90798
GO:0006790	90580
GO:0008422	90341
GO:0102483	90228
GO:0016812	90212
GO:0016645	90201
GO:0006569	89703
GO:0019679	89598
GO:0010461	89576
GO:0006306	89467
GO:0004462	88887
GO:0016833	88475
GO:0015813	88455
GO:0015501	88453
GO:0004139	88356
GO:0051607	88224
GO:0043805	88133
GO:0004746	87979
GO:0005436	87942
GO:0044341	87942
GO:0004340	87691
GO:0005536	87618
